C00267, alpha-D-Glucose
C01005, O-Phospho-L-serine
C00065, L-Serine
C00979, O-Acetyl-L-serine
C00283, Hydrogen sulfide
C00097, L-Cysteine
C04691, 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C00944, 3-Dehydroquinate
C02637, 3-Dehydroshikimate
C00493, Shikimate
C03175, Shikimate 3-phosphate
C01269, 5-O-1-Carboxyvinyl-3-phosphoshikimate
C00251, Chorismate
C00108, Anthranilate
C04302, N-5-Phospho-D-ribosylanthranilate
C01302, "1-2-Carboxyphenylamino-1-deoxy-D-ribulose 5-phosphate"
C03506, Indoleglycerol phosphate
C00078, L-Tryptophan
C00254, Prephenate
C00166, Phenylpyruvate
C00079, L-Phenylalanine
C01179, 3-4-Hydroxyphenylpyruvate
C00082, L-Tyrosine
C02739, 1-5-Phospho-D-ribosyl-ATP
C02741, Phosphoribosyl-AMP
C04896, 5-5-Phospho-D-ribosylaminoformimino-1-5-phosphoribosyl-imidazole-4-carboxamide
C04916, "N-5-Phospho-D-1-ribulosylformimino-5-amino-1-5-phospho-D-ribosyl-4-imidazolecarboxamide"
C04666, D-erythro-1-Imidazol-4-ylglycerol 3-phosphate
C01267, 3-Imidazol-4-yl-2-oxopropyl phosphate
C01100, L-Histidinol phosphate
C00860, L-Histidinol
C01929, L-Histidinal
C00135, L-Histidine
C00334, 4-Aminobutanoate
C00232, Succinate semialdehyde
C00624, N-Acetyl-L-glutamate
C04133, N-Acetyl-L-glutamate 5-phosphate
C01250, N-Acetyl-L-glutamate 5-semialdehyde
C00437, N-Acetylornithine
C00077, L-Ornithine
C00014, NH3
C00169, Carbamoyl phosphate
C00327, L-Citrulline
C03406, N-L-Argininosuccinate
C00062, L-Arginine
C00086, Urea
C01251, R-2-Hydroxybutane-1,2,4-tricarboxylate
C04002, Z-But-1-ene-1,2,4-tricarboxylate
C05662, Homoisocitrate
C00322, 2-Oxoadipate
C00956, L-2-Aminoadipate
C05560, L-2-Aminoadipate adenylate
C05535, alpha-Aminoadipoyl-S-acyl enzyme
C04076, L-2-Aminoadipate 6-semialdehyde
C00449, N6-L-1,3-Dicarboxypropyl-L-lysine
C19886, LysW-gamma-L-alpha-aminoadipate
C19887, LysW-gamma-L-alpha-aminoadipyl 6-phosphate
C19888, LysW-gamma-L-alpha-aminoadipate 6-semialdehyde
C19889, LysW-gamma-L-lysine
C00527, Glutaryl-CoA
C06157, [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine
C00877, Crotonoyl-CoA
C01144, S-3-Hydroxybutanoyl-CoA
C00332, Acetoacetyl-CoA
C03283, L-2,4-Diaminobutanoate
C06442, N-gamma-Acetyldiaminobutyrate
C06231, Ectoine
C00019, S-Adenosyl-L-methionine
C01137, S-Adenosylmethioninamine
C00170, "5-Methylthioadenosine"
C03089, 5-Methylthio-D-ribose
C04188, S-Methyl-5-thio-D-ribose 1-phosphate
C04582, S-Methyl-5-thio-D-ribulose 1-phosphate
C15650, 2,3-Diketo-5-methylthiopentyl-1-phosphate
C15651, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C15606, 1,2-Dihydroxy-5-methylthiopent-1-en-3-one
C01180, 4-Methylthio-2-oxobutanoic acid
C00021, S-Adenosyl-L-homocysteine
C00123, L-Leucine
C00233, 4-Methyl-2-oxopentanoate
C15975, [Dihydrolipoyllysine-residue 2-methylpropanoyltransferase] S-3-methylbutanoyldihydrolipoyllysine
C02939, 3-Methylbutanoyl-CoA
C03069, 3-Methylcrotonyl-CoA
C03231, 3-Methylglutaconyl-CoA
C00356, S-3-Hydroxy-3-methylglutaryl-CoA
C00164, Acetoacetate
C00643, 5-Hydroxy-L-tryptophan
C00780, Serotonin
C00978, N-Acetylserotonin
C01598, Melatonin
C02700, L-Formylkynurenine
C00328, L-Kynurenine
C03227, 3-Hydroxy-L-kynurenine
C00632, 3-Hydroxyanthranilate
C04409, 2-Amino-3-carboxymuconate semialdehyde
C03824, 2-Aminomuconate semialdehyde
C02220, 2-Aminomuconate
C00423, trans-Cinnamate
C00811, 4-Coumarate
C00223, p-Coumaroyl-CoA
C05608, 4-Hydroxycinnamyl aldehyde
C02646, 4-Coumaryl alcohol
C02947, 4-Coumaroylshikimate
C10434, 5-O-Caffeoylshikimic acid
C00323, Caffeoyl-CoA
C00406, Feruloyl-CoA
C02666, Coniferyl aldehyde
C00590, Coniferyl alcohol
C12204, 5-Hydroxyconiferaldehyde
C05610, Sinapoyl aldehyde
C02325, Sinapyl alcohol
C00826, L-Arogenate
C00355, 3,4-Dihydroxy-L-phenylalanine
C03758, 4-2-Aminoethyl-1,2-benzenediol
C00547, L-Noradrenaline
C00788, L-Adrenaline
C02515, 3-Iodo-L-tyrosine
C01060, 3,5-Diiodo-L-tyrosine
C02465, Triiodothyronine
C01829, Thyroxine
C00544, Homogentisate
C01036, 4-Maleylacetoacetate
C01061, 4-Fumarylacetoacetate
C00785, Urocanate
C03680, 4-Imidazolone-5-propanoate
C00439, N-Formimino-L-glutamate
C01045, N-Formyl-L-glutamate
C00106, Uracil
C00429, 5,6-Dihydrouracil
C02642, 3-Ureidopropionate
C00099, beta-Alanine
C00178, Thymine
C21028, R-5,6-Dihydrothymine
C21029, R-3-Ureidoisobutyrate
C01205, R-3-Amino-2-methylpropanoate
C00581, Guanidinoacetate
C00300, Creatine
C02305, Phosphocreatine
C00791, Creatinine
C00064, L-Glutamine
C03090, 5-Phosphoribosylamine
C03838, "5-Phosphoribosylglycinamide"
C04376, "5-Phosphoribosyl-N-formylglycinamide"
C04640, "2-Formamido-N1-5-phosphoribosylacetamidine"
C03373, Aminoimidazole ribotide
C04751, 1-5-Phospho-D-ribosyl-5-amino-4-imidazolecarboxylate
C15667, 5-Carboxyamino-1-5-phospho-D-ribosylimidazole
C04823, "1-5-Phosphoribosyl-5-amino-4-N-succinocarboxamide-imidazole"
C04677, "1-5-Phosphoribosyl-5-amino-4-imidazolecarboxamide"
C04734, "1-5-Phosphoribosyl-5-formamido-4-imidazolecarboxamide"
C00130, IMP
C03794, N6-1,2-Dicarboxyethyl-AMP
C00020, AMP
C00008, ADP
C00002, ATP
C00655, "Xanthosine 5-phosphate"
C00144, GMP
C00035, GDP
C00044, GTP
C00438, N-Carbamoyl-L-aspartate
C00337, S-Dihydroorotate
C00295, Orotate
C01103, "Orotidine 5-phosphate"
C00105, UMP
C00015, UDP
C00075, UTP
C00063, CTP
C00112, CDP
C00110, Dolichyl phosphate
G00001, GlcNAc1 PP-Dol1
G00002, GlcNAc2 PP-Dol1
G00003, GlcNAc2 Man1 PP-Dol1
G00004, GlcNAc2 Man2 PP-Dol1
G00005, GlcNAc2 Man3 PP-Dol1
G10526, GlcNAc2 Man4 PP-Dol1
G00006, GlcNAc2 Man5 PP-Dol1
G10595, GlcNAc2 Man6 PP-Dol1
G10596, GlcNAc2 Man7 PP-Dol1
G10597, GlcNAc2 Man8 PP-Dol1
G00007, GlcNAc2 Man9 PP-Dol1
C01246, Glc1 P-Dol1
G10598, Glc1 GlcNAc2 Man9 PP-Dol1
G10599, Glc2 GlcNAc2 Man9 PP-Dol1
G00008, Glc3 GlcNAc2 Man9 PP-Dol1
C02189, Protein serine
G10611, UDP-N-acetyl-D-galactosamine; UDP-GalNAc1
G00023, Tn antigen; GalNAc1 Ser/Thr1
G00024, T antigen; Gal1 GalNAc1 Ser/Thr1
G00025, Gal1 GalNAc1 GlcNAc1 Ser/Thr1
G00028, GalNAc1 GlcNAc1 Ser/Thr1
G00029, GalNAc1 GlcNAc2 Ser/Thr1
G00031, GalNAc1 GlcNAc1 Ser/Thr1
G00154, Xyl1 Ser1
G00155, Gal1 Xyl1 Ser1
G00156, Gal2 Xyl1 Ser1
G00157, Gal2 GlcA1 Xyl1 Ser1
G00158, Gal2 GalNAc1 GlcA1 Xyl1 Ser1
G00159, Gal2 GalNAc1 GlcA2 Xyl1 Ser1
G00160, Gal2 GalNAc2 GlcA2 Xyl1 Ser1
G00162, Gal2 GlcA1 GlcNAc1 Xyl1 Ser1
G00163, Gal2 GlcA2 GlcNAc1 Xyl1 Ser1
G00164, Gal2 GlcA2 GlcNAc2 Xyl1 Ser1
C00043, UDP-N-acetyl-D-glucosamine
C04738, UDP-3-O-3-hydroxytetradecanoyl-N-acetylglucosamine
C06022, UDP-3-O-3-hydroxytetradecanoyl-D-glucosamine
C04652, UDP-2,3-bis3-hydroxytetradecanoylglucosamine
C04824, 2,3-Bis3-hydroxytetradecanoyl-beta-D-glucosaminyl 1-phosphate
C04932, "2,3,2,3-Tetrakis3-hydroxytetradecanoyl-D-glucosaminyl-1,6-beta-D-glucosamine 1-phosphate"
C04919, "2,3,23-Tetrakis3-hydroxytetradecanoyl-D-glucosaminyl-1,6-beta-D-glucosamine 1,4-bisphosphate"
C06024, 3-Deoxy-D-manno-octulosonyl-lipid IVA
C06025, Di[3-deoxy-D-manno-octulosonyl]-lipid IVA
C06251, Lauroyl-KDO2-lipid IVA
C06026, Di[3-deoxy-D-manno-octulosonyl]-lipid A
C00905, D-Fructuronate
C00514, D-Mannonate
C00204, 2-Dehydro-3-deoxy-D-gluconate
C01112, D-Arabinose 5-phosphate
C04478, 3-Deoxy-D-manno-octulosonate 8-phosphate
C01187, 3-Deoxy-D-manno-octulosonate
C04121, CMP-3-deoxy-D-manno-octulosonate
C07836, D-glycero-D-manno-Heptose 7-phosphate
C11472, D-glycero-D-manno-Heptose 1,7-bisphosphate
C07838, D-glycero-D-manno-Heptose 1-phosphate
C06397, ADP-D-glycero-D-manno-heptose
C06398, ADP-L-glycero-D-manno-heptose
C01194, 1-Phosphatidyl-D-myo-inositol
G00143, \xa0
G00144, \xa0
G00145, \xa0
G00146, \xa0
G13128, \xa0
G00148, \xa0
G00149, \xa0
G13044, \xa0
G13152, \xa0
C00195, N-Acylsphingosine
C01190, Glucosylceramide
C01290, beta-D-Galactosyl-1,4-beta-D-glucosylceramide
C02686, Galactosylceramide
C06125, Sulfatide
C03201, 1-Alkyl-2-acylglycerol
C20859, Galactosyl-1-alkyl-2-acylglycerol
C20825, Seminolipid
G00092, Lactosylceramide; LacCer; Gal1 Glc1 Cer1
G00093, Globotriaosylceramide; Gb3Cer; Gal2 Glc1 Cer1
G00094, Globoside; Gb4Cer; Gal2 GalNAc1 Glc1 Cer1
G00108, GM3; Gal1 Glc1 Neu5Ac1 Cer1
G00113, GD3; Gal1 Glc1 Neu5Ac2 Cer1
G00118, GT3; Gal1 Glc1 Neu5Ac3 Cer1
G00036, Lc3Cer; Gal1 Glc1 GlcNAc1 Cer1
G00037, Lc4Cer; Gal2 Glc1 GlcNAc1 Cer1
G00050, nLc4Cer; Gal2 Glc1 GlcNAc1 Cer1
G00008, \xa0
C03021, Protein asparagine
C00621, Dolichyl diphosphate
G00009, \xa0
G00171, \xa0
G00010, \xa0
G00011, \xa0
G10694, \xa0
G00012, \xa0
G01813, \xa0
G00013, \xa0
G00014, \xa0
G00015, \xa0
G00019, \xa0
G00020, \xa0
G00021, \xa0
G00022, \xa0
G00016, \xa0
G00017, \xa0
G00018, \xa0
C00426, Dermatan sulfate
G13041, \xa0
G13042, \xa0
G12336, \xa0
G13043, \xa0
G00872, DWA-2
C00634, Chondroitin 4-sulfate
C00925, Heparan sulfate
G13034, \xa0
G13035, \xa0
G13036, \xa0
G13037, \xa0
G13038, \xa0
G13039, \xa0
G13040, \xa0
G09660, \xa0
G02632, \xa0
C00573, Keratan sulfate
G01945, \xa0
G01977, \xa0
G13073, \xa0
G13074, \xa0
G01391, \xa0
C00714, Pectin
C00470, Pectate
C02273, Digalacturonate
C00333, D-Galacturonate
C00083, Malonyl-CoA
C01209, Malonyl-[acyl-carrier protein]
C03939, Acetyl-[acyl-carrier protein]
C05744, Acetoacetyl-[acp]
C04618, 3R-3-Hydroxybutanoyl-[acyl-carrier protein]
C04246, But-2-enoyl-[acyl-carrier protein]
C05745, Butyryl-[acp]
C05746, 3-Oxohexanoyl-[acp]
C05747, R-3-Hydroxyhexanoyl-[acp]
C05748, trans-Hex-2-enoyl-[acp]
C05749, Hexanoyl-[acp]
C05750, 3-Oxooctanoyl-[acp]
C04620, 3R-3-Hydroxyoctanoyl-[acyl-carrier protein]
C05751, trans-Oct-2-enoyl-[acp]
C05752, Octanoyl-[acp]
C05753, 3-Oxodecanoyl-[acp]
C04619, 3R-3-Hydroxydecanoyl-[acyl-carrier protein]
C05754, trans-Dec-2-enoyl-[acp]
C05755, Decanoyl-[acp]
C05756, 3-Oxododecanoyl-[acp]
C05757, R-3-Hydroxydodecanoyl-[acp]
C05758, trans-Dodec-2-enoyl-[acp]
C05223, Dodecanoyl-[acyl-carrier protein]
C05759, 3-Oxotetradecanoyl-[acp]
C04688, 3R-3-Hydroxytetradecanoyl-[acyl-carrier protein]
C05760, trans-Tetradec-2-enoyl-[acp]
C05761, Tetradecanoyl-[acp]
C05762, 3-Oxohexadecanoyl-[acp]
C04633, 3R-3-Hydroxypalmitoyl-[acyl-carrier protein]
C05763, trans-Hexadec-2-enoyl-[acp]
C05764, Hexadecanoyl-[acp]
C00040, Acyl-CoA
C00264, 3-Oxoacyl-CoA
C00640, 3S-3-Hydroxyacyl-CoA
C00658, trans-2,3-Dehydroacyl-CoA
C00136, Butanoyl-CoA
C05269, 3-Oxohexanoyl-CoA
C05268, S-Hydroxyhexanoyl-CoA
C05271, trans-Hex-2-enoyl-CoA
C05270, Hexanoyl-CoA
C05267, 3-Oxooctanoyl-CoA
C05266, S-3-Hydroxyoctanoyl-CoA
C05276, trans-Oct-2-enoyl-CoA
C01944, Octanoyl-CoA
C05265, 3-Oxodecanoyl-CoA
C05264, S-Hydroxydecanoyl-CoA
C05275, trans-Dec-2-enoyl-CoA
C05274, Decanoyl-CoA
C05263, 3-Oxododecanoyl-CoA
C05262, S-3-Hydroxydodecanoyl-CoA
C03221, 2-trans-Dodecenoyl-CoA
C01832, Lauroyl-CoA
C05261, 3-Oxotetradecanoyl-CoA
C05260, S-3-Hydroxytetradecanoyl-CoA
C05273, trans-Tetradec-2-enoyl-CoA
C02593, Tetradecanoyl-CoA
C05259, 3-Oxopalmitoyl-CoA
C05258, S-3-Hydroxyhexadecanoyl-CoA
C05272, trans-Hexadec-2-enoyl-CoA
C00154, Palmitoyl-CoA
C00249, Hexadecanoic acid
C01089, R-3-Hydroxybutanoate
C00207, Acetone
C00093, sn-Glycerol 3-phosphate
C00681, 1-Acyl-sn-glycerol 3-phosphate
C00416, Phosphatidate
C00641, 1,2-Diacyl-sn-glycerol
C00422, Triacylglycerol
C00114, Choline
C00588, Choline phosphate
C00307, CDP-choline
C00157, Phosphatidylcholine
C00350, Phosphatidylethanolamine
C01241, Phosphatidyl-N-methylethanolamine
C04308, Phosphatidyl-N-dimethylethanolamine
C00189, Ethanolamine
C00346, Ethanolamine phosphate
C00570, CDP-ethanolamine
C00269, CDP-diacylglycerol
C02737, Phosphatidylserine
C02934, 3-Dehydrosphinganine
C00836, Sphinganine
C12126, Dihydroceramide
C00418, R-Mevalonate
C01107, R-5-Phosphomevalonate
C01143, R-5-Diphosphomevalonate
C00129, Isopentenyl diphosphate
C00235, Dimethylallyl diphosphate
C00353, Geranylgeranyl diphosphate
C03427, Prephytoene diphosphate
C05421, 15-cis-Phytoene
C19765, "15,9-dicis-Phytofluene"
C19764, "9,15,9-tricis-zeta-Carotene"
C15857, "9,9-dicis-zeta-Carotene"
C19759, "7,9,9-tricis-Neurosporene"
C15858, "7,9,7,9-tetracis-Lycopene"
C05432, Lycopene
C05435, gamma-Carotene
C02094, beta-Carotene
C01885, 1-Acylglycerol
C00116, Glycerol
C00319, Sphingosine
C06124, Sphingosine 1-phosphate
C00448, trans,trans-Farnesyl diphosphate
C03428, Presqualene diphosphate
C00751, Squalene
C01054, S-2,3-Epoxysqualene
C01724, Lanosterol
C11455, 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C05108, 14-Demethyllanosterol
C15808, 4alpha-Methylzymosterol-4-carboxylate
C15816, 3-Keto-4-methylzymosterol
C05103, 4alpha-Methylzymosterol
C22112, 4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol
C22136, Zymosterone
C05437, Zymosterol
C03845, 5alpha-Cholest-8-en-3beta-ol
C01189, Lathosterol
C01164, 7-Dehydrocholesterol
C00187, Cholesterol
C04525, Fecosterol
C15777, Episterol
C15780, 5-Dehydroepisterol
C05440, Ergosta-5,7,22,2428-tetraen-3beta-ol
C01694, Ergosterol
C05441, Vitamin D2
C01164, Cholesta-5,7-dien-3beta-ol
C05443, Vitamin D3
C01561, Calcidiol
C01673, Calcitriol
C03594, 7alpha-Hydroxycholesterol
C05455, 7alpha-Hydroxycholest-4-en-3-one
C17339, 4-Cholesten-7alpha,12alpha-diol-3-one
C05453, 7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
C05454, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane
C05446, 3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
C01301, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
C04722, 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
C15613, 25R-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C17343, 25S-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C05460, 24E-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
C15614, 24R,25R-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA
C05467, 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA
C01794, Choloyl-CoA
C00695, Cholic acid
C05451, 7alpha-Hydroxy-5beta-cholestan-3-one
C05452, 3alpha,7alpha-Dihydroxy-5beta-cholestane
C05444, 3alpha,7alpha,26-Trihydroxy-5beta-cholestane
C05445, 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
C04554, 3alpha,7alpha-Dihydroxy-5beta-cholestanate
C17345, 25R-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C17346, 25S-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
C05447, 24E-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA
C05448, 24R,25R-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA
C05449, 3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA
C05337, Chenodeoxycholoyl-CoA
C02528, Chenodeoxycholate
C05122, Taurocholate
C01921, Glycocholate
C05500, 20alpha-Hydroxycholesterol
C05501, 20alpha,22beta-Dihydroxycholesterol
C05502, 22beta-Hydroxycholesterol
C01953, Pregnenolone
C00410, Progesterone
C03205, 11-Deoxycorticosterone
C02140, Corticosterone
C01124, 18-Hydroxycorticosterone
C01780, Aldosterone
C01176, 17alpha-Hydroxyprogesterone
C05488, 11-Deoxycortisol
C00735, Cortisol
C00762, Cortisone
C05138, 17alpha-Hydroxypregnenolone
C01227, Dehydroepiandrosterone
C00280, Androstenedione
C05290, 19-Hydroxyandrost-4-ene-3,17-dione
C05297, 19-Oxoandrost-4-ene-3,17-dione
C00468, Estrone
C05427, Phytyl diphosphate
C15882, 2-Methyl-6-phytylquinol
C15883, 2,3-Dimethyl-5-phytylquinol
C02483, gamma-Tocopherol
C02477, alpha-Tocopherol
C14151, delta-Tocopherol
C14152, beta-Tocopherol
C20737, 6-Geranylgeranyl-2-methylbenzene-1,4-diol
C20738, 6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol
C14155, gamma-Tocotrienol
C14153, alpha-Tocotrienol
C14156, delta-Tocotrienol
C14154, beta-Tocotrienol
C06427, 9Z,12Z,15Z-Octadecatrienoic acid
C04785, 13S-HPOT
C04672, 12,13S-EOT
C01226, 12-OPDA
C04780, OPC-8:0
C16327, OPC8-CoA
C16328, trans-2-Enoyl-OPC8-CoA
C16330, 3-Oxo-OPC8-CoA
C16331, OPC6-CoA
C16332, trans-2-Enoyl-OPC6-CoA
C16334, 3-Oxo-OPC6-CoA
C16335, OPC4-CoA
C16336, trans-2-Enoyl-OPC4-CoA
C16338, 3-Oxo-OPC4-CoA
C16339, +-7-Isojasmonic acid CoA
C16317, +-7-Isojasmonic acid
C08491, --Jasmonic acid
C00275, D-Mannose 6-phosphate
C00636, D-Mannose 1-phosphate
C00096, GDP-mannose
C02280, GDP-L-galactose
C15926, beta-L-Galactose 1-phosphate
C01825, L-Galactose
C01115, L-Galactono-1,4-lactone
C00072, Ascorbate
C05840, Iminoaspartate
C03722, Pyridine-2,3-dicarboxylate
C01185, Nicotinate D-ribonucleotide
C00857, Deamino-NAD+
C00003, NAD+
C00885, Isochorismate
C16519, 2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C05817, 1R,6R-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate
C02730, 2-Succinylbenzoate
C03160, 2-Succinylbenzoyl-CoA
C15547, 1,4-Dihydroxy-2-naphthoyl-CoA
C03657, 1,4-Dihydroxy-2-naphthoate
C05847, all-trans-Polyprenyl diphosphate
C19847, Demethylmenaquinol
C05819, Menaquinol
C00156, 4-Hydroxybenzoate
C05848, 4-Hydroxy-3-polyprenylbenzoate
C05807, 2-Polyprenylphenol
C17551, 2-Polyprenyl-6-hydroxyphenol
C17552, 2-Polyprenyl-6-methoxyphenol
C19858, 2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol
C19859, 5-Methoxy-2-methyl-3-all-trans-polyprenylbenzene-1,4-diol
C21860, 3-Demethylubiquinol
C00390, Ubiquinol
C00669, gamma-L-Glutamyl-L-cysteine
C00051, Glutathione
C00966, 2-Dehydropantoate
C00522, R-Pantoate
C00864, Pantothenate
C03492, "D-4-Phosphopantothenate"
C04352, "R-4-Phosphopantothenoyl-L-cysteine"
C01134, "Pantetheine 4-phosphate"
C00882, Dephospho-CoA
C00010, CoA
C02987, L-Glutamyl-tRNAGlu
C03741, S-4-Amino-5-oxopentanoate
C00430, 5-Aminolevulinate
C00931, Porphobilinogen
C01024, Hydroxymethylbilane
C01051, Uroporphyrinogen III
C03263, Coproporphyrinogen III
C01079, Protoporphyrinogen IX
C02191, Protoporphyrin
C00032, Heme
C06504, CobIIyrinate a,c diamide
C06506, Adenosyl cobyrinate a,c diamide
C06507, Adenosyl cobyrinate hexaamide
C06508, Adenosyl cobinamide
C06509, Adenosyl cobinamide phosphate
C06510, Adenosine-GDP-cobinamide
C03114, Dimethylbenzimidazole
C04778, N1-5-Phospho-alpha-D-ribosyl-5,6-dimethylbenzimidazole
C05775, alpha-Ribazole
C00194, Cobamide coenzyme
C19845, Pimeloyl-[acyl-carrier protein]
C01092, 8-Amino-7-oxononanoate
C01063, Pimeloyl-CoA
C01037, 7,8-Diaminononanoate
C01909, Dethiobiotin
C00120, Biotin
C03393, 4-Phospho-D-erythronate
C06054, 2-Oxo-3-hydroxy-4-phosphobutanoate
C06055, O-Phospho-4-hydroxy-L-threonine
C07335, 2-Amino-3-oxo-4-phosphonooxybutyrate
C11638, 3-Amino-2-oxopropyl phosphate
C00627, Pyridoxine phosphate
C00018, Pyridoxal phosphate
C01304, "2,5-Diamino-6-5-phosphoribosylamino-4-pyrimidineone"
C01268, "5-Amino-6-5-phosphoribosylaminouracil"
C04454, "5-Amino-6-5-phosphoribitylaminouracil"
C04732, 5-Amino-6-1-D-ribitylaminouracil
C15556, 3,4-Dihydroxy-2-butanone 4-phosphate
C04332, 6,7-Dimethyl-8-1-D-ribityllumazine
C00255, Riboflavin
C00061, FMN
C00016, FAD
C05922, Formamidopyrimidine nucleoside triphosphate
C05923, 2,5-Diaminopyrimidine nucleoside triphosphate
C06148, "2,5-Diamino-6-5-triphosphoryl-3,4-trihydroxy-2-oxopentyl-amino-4-oxopyrimidine"
C04895, "7,8-Dihydroneopterin 3-triphosphate"
C04874, 7,8-Dihydroneopterin
C05925, Dihydroneopterin phosphate
C01300, 6-Hydroxymethyl-7,8-dihydropterin
C04807, 6-Hydroxymethyl-7,8-dihydropterin diphosphate
C00921, Dihydropteroate
C00415, Dihydrofolate
C00101, Tetrahydrofolate
C15810, Sulfur-carrier protein
C15813, Adenylyl-[sulfur-carrier protein]
C15814, Thiocarboxy-[sulfur-carrier protein]
C15809, Iminoglycine
C11437, 1-Deoxy-D-xylulose 5-phosphate
C20246, 2-[2R,5Z-2-Carboxy-4-methylthiazol-52H-ylidene]ethyl phosphate
C20247, 2-2-Carboxy-4-methylthiazol-5-ylethyl phosphate
